Position,Orientation,Angle
"(1.23802, -0.0937861, 0)","(0, 0, -0.000218415, 1)",-0.00043683
"(5.75611, -0.0798797, 0)","(0, 0, -0.00102293, 0.999999)",-0.00204586
"(8.32283, -0.082777, 0)","(0, 0, -0.0199644, 0.999801)",-0.0399315
"(9.74896, 0.0918729, 0)","(0, 0, 0.685195, 0.72836)",1.50974
"(9.78424, 2.92846, 0)","(0, 0, 0.703287, 0.710906)",1.56002
"(9.97694, 5.87385, 0)","(0, 0, 0.7108, 0.703394)",1.58127
"(9.79911, 8.15798, 0)","(0, 0, 0.682147, 0.731215)",1.50139
"(8.89526, 8.82939, 0)","(0, 0, 0.999827, 0.0185981)",3.10439
"(6.157, 8.77951, 0)","(0, 0, 0.999985, 0.00552491)",3.13054
"(2.687, 8.90816, 0)","(0, 0, -0.999999, 0.00111701)",-3.13936
"(-2.10953, 8.31912, 0)","(0, 0, 0.999708, 0.0241678)",3.09325
"(-5.04577, 8.61833, 0)","(0, 0, -0.999981, 0.0061294)",-3.12933
"(-9.04175, 8.59607, 0)","(0, 0, -0.999973, 0.00731667)",-3.12696
"(-12.1809, 8.64235, 0)","(0, 0, 0.999849, 0.0173719)",3.10685
"(-13.6548, 8.50267, 0)","(0, 0, -0.711849, 0.702333)",-1.58425
"(-13.4929, 5.90078, 0)","(0, 0, -0.724311, 0.689474)",-1.62007
"(-13.7952, 3.63272, 0)","(0, 0, -0.712282, 0.701893)",-1.58549
"(-13.8447, 1.09317, 0)","(0, 0, -0.713029, 0.701135)",-1.58762
"(-13.1215, -0.232256, 0)","(0, 0, -0.00447785, 0.99999)",-0.00895574
"(-10.4898, -0.230675, 0)","(0, 0, 0.00583726, 0.999983)",0.0116746
"(-7.72491, -0.132394, 0)","(0, 0, -0.00101875, 0.999999)",-0.00203751
"(-3.32754, -0.304762, 0)","(0, 0, 0.0105439, 0.999944)",0.0210882
"(-0.482863, 0.0960102, 0)","(0, 0, -0.00391408, 0.999992)",-0.00782819
"(1.90933, -0.254627, 0)","(0, 0, -0.00666134, 0.999978)",-0.0133228
"(3.85527, -0.0252484, 0)","(0, 0, -0.0135925, 0.999908)",-0.0271859
"(5.93153, -0.209518, 0)","(0, 0, 0.00249668, 0.999997)",0.00499337
